Player,Position,Age,Games,GS,MP,FG,FGA,FG_PCT,FG3,FG3A,FG3_PCT,FG2,FG2A,FG2_PCT,EFG_PCT,FT,FTA,FT_PCT,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Precious Achiuwa,PF,21,47,2,593,101,178,.567,0,0,,101,178,.567,.567,47,94,.500,58,111,169,25,15,24,38,72,249
Jaylen Adams,PG,24,7,0,18,1,8,.125,0,2,.000,1,6,.167,.125,0,0,,0,3,3,2,0,0,0,1,2
Steven Adams,C,27,45,45,1268,156,250,.624,0,3,.000,156,247,.632,.624,47,105,.448,176,227,403,89,41,30,67,93,359
Bam Adebayo,C,23,44,44,1480,317,564,.562,2,8,.250,315,556,.567,.564,211,253,.834,105,316,421,235,38,52,118,97,847
LaMarcus Aldridge,C,35,23,20,600,124,268,.463,29,77,.377,95,191,.497,.517,33,39,.846,17,89,106,43,10,22,21,40,310
Ty-Shon Alexander,SG,22,5,0,15,1,5,.200,1,3,.333,0,2,.000,.300,1,2,.500,0,2,2,1,0,0,0,1,4
Nickeil Alexander-Walker,SG,22,41,10,851,158,378,.418,65,187,.348,93,191,.487,.504,39,52,.750,10,116,126,81,40,21,57,77,420
Grayson Allen,SG,25,34,22,824,112,265,.423,74,180,.411,38,85,.447,.562,47,52,.904,14,98,112,70,35,7,33,44,345
Jarrett Allen,C,22,44,26,1262,209,330,.633,5,12,.417,204,318,.642,.641,152,216,.704,134,302,436,74,20,74,65,70,575
Al-Farouq Aminu,PF,30,18,14,379,36,90,.400,7,32,.219,29,58,.500,.439,16,19,.842,20,76,96,29,17,9,27,24,95
Kyle Anderson,PF,27,45,45,1215,204,432,.472,59,166,.355,145,266,.545,.541,88,116,.759,31,229,260,151,52,35,60,71,555
Giannis Antetokounmpo,PF,26,45,45,1529,468,829,.565,51,169,.302,417,660,.632,.595,307,447,.687,80,432,512,277,51,60,169,129,1294
Kostas Antetokounmpo,PF,23,9,0,35,2,5,.400,0,0,,2,5,.400,.400,2,6,.333,2,10,12,0,2,3,8,3,6
Thanasis Antetokounmpo,SF,28,37,1,363,51,91,.560,7,20,.350,44,71,.620,.599,12,26,.462,36,48,84,28,14,7,29,48,121
Carmelo Anthony,PF,36,48,3,1233,234,564,.415,84,220,.382,150,344,.436,.489,104,120,.867,25,130,155,80,38,32,49,107,656
Cole Anthony,PG,20,25,17,667,101,269,.375,27,83,.325,74,186,.398,.426,46,55,.836,20,91,111,94,17,11,51,51,275
OG Anunoby,SF,23,31,31,1033,168,346,.486,73,180,.406,95,166,.572,.591,57,75,.760,47,138,185,58,53,25,54,85,466
Ryan Arcidiacono,PG,26,30,0,332,33,86,.384,16,50,.320,17,36,.472,.477,12,16,.750,3,43,46,42,7,0,7,35,94
Trevor Ariza,SF,35,9,6,221,22,65,.338,11,38,.289,11,27,.407,.423,9,13,.692,4,33,37,12,5,7,4,10,64
D.J. Augustin,PG,33,46,6,895,100,257,.389,61,163,.374,39,94,.415,.508,56,61,.918,16,59,75,146,25,1,52,44,317
Deni Avdija,SF,20,44,22,1010,107,254,.421,43,137,.314,64,117,.547,.506,20,32,.625,17,196,213,51,25,10,30,120,277
Deandre Ayton,C,22,48,48,1461,299,492,.608,4,17,.235,295,475,.621,.612,95,125,.760,157,361,518,71,19,53,79,144,697
Udoka Azubuike,C,21,12,0,49,4,7,.571,0,0,,4,7,.571,.571,4,6,.667,4,9,13,0,1,4,3,8,12
Dwayne Bacon,SG,25,50,32,1284,192,484,.397,48,153,.314,144,331,.435,.446,90,108,.833,16,134,150,62,27,4,34,83,522
Marvin Bagley III,PF,21,37,37,951,209,416,.502,34,96,.354,175,320,.547,.543,61,109,.560,91,184,275,35,18,19,49,90,513
LaMelo Ball,PG,19,41,21,1174,237,526,.451,81,216,.375,156,310,.503,.528,97,123,.789,54,186,240,251,65,14,115,116,652
Lonzo Ball,PG,23,39,39,1242,204,479,.426,122,311,.392,82,168,.488,.553,36,46,.783,23,139,162,220,53,21,82,81,566
Mo Bamba,C,22,28,0,323,65,138,.471,15,49,.306,50,89,.562,.525,14,24,.583,35,81,116,12,5,25,14,49,159
Desmond Bane,SG,22,43,11,970,152,318,.478,74,164,.451,78,154,.506,.594,28,33,.848,17,117,134,60,28,7,40,84,406
Harrison Barnes,PF,28,47,47,1688,248,507,.489,71,193,.368,177,314,.564,.559,165,199,.829,54,257,311,170,37,9,72,61,732
RJ Barrett,SG,20,50,50,1700,326,735,.444,61,175,.349,265,560,.473,.485,148,203,.729,54,243,297,154,37,13,98,130,861
Will Barton,SF,30,46,42,1432,215,501,.429,79,210,.376,136,291,.467,.508,65,87,.747,32,162,194,145,40,22,77,74,574
Keita Bates-Diop,SF,25,16,0,118,11,32,.344,5,15,.333,6,17,.353,.422,7,10,.700,5,15,20,7,6,1,1,5,34
Nicolas Batum,SF,32,48,38,1372,137,299,.458,86,203,.424,51,96,.531,.602,40,48,.833,40,196,236,117,55,18,38,78,400
Aron Baynes,C,34,46,31,850,109,258,.422,20,86,.233,89,172,.517,.461,26,36,.722,75,158,233,42,13,20,38,103,264
Kent Bazemore,SF,31,48,1,784,102,230,.443,42,111,.378,60,119,.504,.535,33,48,.688,17,121,138,72,40,23,53,103,279
Darius Bazley,PF,20,36,36,1104,158,403,.392,54,186,.290,104,217,.479,.459,57,81,.704,22,248,270,54,18,23,63,31,427
Bradley Beal,SG,27,41,41,1454,449,926,.485,90,266,.338,359,660,.544,.533,296,328,.902,46,160,206,196,49,15,137,102,1284
Malik Beasley,SG,24,37,36,1214,264,600,.440,128,321,.399,136,279,.487,.547,68,80,.850,28,134,162,88,30,7,60,62,724
Jordan Bell,C,26,3,1,50,5,15,.333,0,2,.000,5,13,.385,.333,0,0,,5,11,16,5,1,3,3,4,10
DeAndre' Bembry,SF,26,33,7,569,64,120,.533,9,28,.321,55,92,.598,.571,20,29,.690,19,62,81,64,23,10,36,52,157
Dāvis Bertāns,PF,28,36,4,884,116,297,.391,100,262,.382,16,35,.457,.559,58,68,.853,15,88,103,31,21,8,22,89,390
Patrick Beverley,PG,32,29,29,689,80,181,.442,50,119,.420,30,62,.484,.580,31,39,.795,27,80,107,60,25,23,27,91,241
Saddiq Bey,SF,21,47,30,1166,159,400,.398,104,275,.378,55,125,.440,.528,74,85,.871,25,165,190,62,29,5,35,82,496
Tyler Bey,SF,22,10,0,33,3,11,.273,0,1,.000,3,10,.300,.273,2,4,.500,5,7,12,1,0,1,0,4,8
Khem Birch,C,28,47,5,936,94,207,.454,4,21,.190,90,186,.484,.464,63,85,.741,116,125,241,52,31,28,23,64,255
Goga Bitadze,C,21,29,0,284,52,103,.505,8,33,.242,44,70,.629,.544,23,33,.697,34,46,80,11,5,28,11,50,135
Bismack Biyombo,C,28,47,28,1002,106,184,.576,0,1,.000,106,183,.579,.576,39,81,.481,95,150,245,62,13,54,49,111,251
Nemanja Bjelica,PF,32,30,1,491,76,166,.458,20,68,.294,56,98,.571,.518,33,45,.733,24,87,111,54,9,2,31,57,205
Eric Bledsoe,SG,31,48,47,1443,199,483,.412,87,241,.361,112,242,.463,.502,77,114,.675,20,143,163,186,35,16,77,80,562
Keljin Blevins,SF,25,10,0,51,2,14,.143,0,5,.000,2,9,.222,.143,0,0,,0,2,2,4,2,0,3,4,4
Bogdan Bogdanović,SG,28,25,8,637,111,253,.439,58,151,.384,53,102,.520,.553,19,21,.905,11,74,85,71,20,7,25,56,299
Bojan Bogdanović,SF,31,49,49,1471,237,571,.415,120,308,.390,117,263,.445,.520,131,150,.873,26,166,192,94,26,3,68,81,725
Bol Bol,PF,21,20,2,107,19,36,.528,9,18,.500,10,18,.556,.653,4,7,.571,0,16,16,6,2,6,9,11,51
Marques Bolden,C,22,6,0,29,1,3,.333,0,0,,1,3,.333,.333,5,8,.625,3,3,6,0,2,2,2,0,7
Jordan Bone,PG,23,14,0,196,23,54,.426,10,32,.313,13,22,.591,.519,0,0,,4,20,24,18,2,0,3,11,56
Isaac Bonga,SF,21,30,7,355,24,63,.381,11,37,.297,13,26,.500,.468,3,6,.500,17,42,59,19,8,7,16,52,62
Devin Booker,SG,24,44,44,1490,416,838,.496,91,256,.355,325,582,.558,.551,205,240,.854,15,164,179,199,38,11,143,124,1128
Chris Boucher,C,28,49,4,1136,228,433,.527,73,179,.408,155,254,.610,.611,120,155,.774,90,218,308,49,27,95,36,132,649
Brian Bowen,SF,22,3,0,8,1,2,.500,0,0,,1,2,.500,.500,1,1,1.000,0,1,1,0,0,0,0,1,3
Avery Bradley,SG,30,14,1,301,44,104,.423,20,57,.351,24,47,.511,.519,8,11,.727,3,24,27,24,9,1,13,33,116
Tony Bradley,C,23,24,8,368,65,96,.677,0,3,.000,65,93,.699,.677,15,20,.750,47,83,130,21,8,16,13,37,145
Jarrell Brantley,PF,24,16,0,55,10,23,.435,5,14,.357,5,9,.556,.543,2,2,1.000,3,10,13,4,3,1,1,9,27
Ignas Brazdeikis,SF,22,5,0,15,0,4,.000,0,1,.000,0,3,.000,.000,2,2,1.000,1,3,4,1,0,0,1,0,2
Mikal Bridges,SF,24,48,48,1554,238,450,.529,83,205,.405,155,245,.633,.621,77,94,.819,58,172,230,110,43,43,41,72,636
Miles Bridges,PF,22,49,3,1311,183,370,.495,64,167,.383,119,203,.586,.581,58,66,.879,63,219,282,97,31,35,76,104,488
Malcolm Brogdon,PG,28,44,44,1550,353,771,.458,118,293,.403,235,478,.492,.534,109,125,.872,36,173,209,258,45,10,94,85,933
Dillon Brooks,SF,25,44,44,1276,266,660,.403,80,243,.329,186,417,.446,.464,95,114,.833,36,94,130,105,55,17,85,151,707
Bruce Brown,PG,24,46,30,1001,161,292,.551,10,40,.250,151,252,.599,.568,59,78,.756,72,139,211,68,35,13,37,98,391
Jaylen Brown,SG,24,46,46,1552,422,872,.484,122,307,.397,300,565,.531,.554,152,201,.756,56,206,262,165,57,23,125,131,1118
Moses Brown,C,21,20,9,387,63,110,.573,0,0,,63,110,.573,.573,44,74,.595,63,105,168,4,11,22,15,37,170
Sterling Brown,SG,25,47,14,1152,135,310,.435,82,200,.410,53,110,.482,.568,24,26,.923,37,179,216,67,36,12,36,94,376
Troy Brown Jr.,SF,21,25,0,362,42,108,.389,17,53,.321,25,55,.455,.468,13,19,.684,15,56,71,23,6,4,17,36,114
Jalen Brunson,PG,24,44,10,1112,211,392,.538,52,132,.394,159,260,.612,.605,93,114,.816,14,141,155,148,25,0,60,74,567
Thomas Bryant,C,23,10,10,271,59,91,.648,9,21,.429,50,70,.714,.698,16,24,.667,18,43,61,15,4,8,11,31,143
Reggie Bullock,SF,29,43,42,1194,146,342,.427,92,230,.400,54,112,.482,.561,26,30,.867,11,135,146,58,32,8,31,95,410
Trey Burke,PG,28,47,0,682,115,257,.447,47,126,.373,68,131,.519,.539,34,40,.850,5,37,42,64,25,3,24,48,311
Alec Burks,SG,29,38,5,993,165,389,.424,77,187,.412,88,202,.436,.523,82,96,.854,19,146,165,84,29,11,39,77,489
Jimmy Butler,SF,31,35,35,1178,246,507,.485,14,68,.206,232,439,.528,.499,236,277,.852,71,192,263,256,69,13,76,51,742
Bruno Caboclo,PF,25,6,0,36,8,17,.471,0,5,.000,8,12,.667,.471,1,2,.500,3,11,14,1,0,2,4,6,17
Devontae Cacok,PF,24,12,1,54,10,17,.588,0,0,,10,17,.588,.588,3,7,.429,7,10,17,1,5,2,3,5,23
Kentavious Caldwell-Pope,SG,27,46,46,1221,129,314,.411,69,174,.397,60,140,.429,.521,58,69,.841,21,99,120,69,37,13,50,75,385
Facundo Campazzo,PG,29,43,1,769,63,171,.368,41,120,.342,22,51,.431,.488,34,42,.810,11,51,62,118,43,9,41,83,201
Vlatko Čančar,PF,23,25,0,148,14,33,.424,5,18,.278,9,15,.600,.500,5,6,.833,5,24,29,8,8,2,9,13,38
Clint Capela,C,26,44,44,1310,288,488,.590,0,0,,288,488,.590,.590,89,151,.589,211,414,625,35,33,100,55,103,665
Vernon Carey Jr.,C,19,9,0,30,2,6,.333,0,3,.000,2,3,.667,.333,1,2,.500,2,7,9,1,0,2,2,1,5
Jevon Carter,PG,25,36,0,360,38,100,.380,21,66,.318,17,34,.500,.485,2,2,1.000,5,40,45,43,15,7,7,37,99
Wendell Carter Jr.,C,21,37,27,930,157,299,.525,9,30,.300,148,269,.550,.540,100,134,.746,86,211,297,79,22,31,57,106,423
Michael Carter-Williams,SG,29,26,20,684,87,229,.380,11,47,.234,76,182,.418,.404,40,60,.667,34,86,120,115,17,14,59,72,225
Alex Caruso,PG,26,40,0,810,80,196,.408,36,90,.400,44,106,.415,.500,32,49,.653,22,97,119,97,45,10,45,71,228
Willie Cauley-Stein,C,27,35,11,599,79,127,.622,1,8,.125,78,119,.655,.626,33,50,.660,40,110,150,26,11,28,16,80,192
Chris Chiozza,PG,25,18,0,172,22,65,.338,11,33,.333,11,32,.344,.423,10,13,.769,3,14,17,50,6,4,12,14,65
Marquese Chriss,PF,23,2,0,27,5,14,.357,1,5,.200,4,9,.444,.393,2,4,.500,3,10,13,2,0,2,2,3,13
Gary Clark,SF,26,35,11,637,40,131,.305,31,108,.287,9,23,.391,.424,8,10,.800,33,79,112,30,12,7,17,34,119
Brandon Clarke,PF,24,41,16,1056,200,382,.524,19,60,.317,181,322,.562,.548,60,87,.690,61,164,225,70,44,35,24,63,479
Jordan Clarkson,SG,28,49,0,1249,308,729,.422,149,423,.352,159,306,.520,.525,83,87,.954,39,156,195,110,42,7,83,72,848
Nicolas Claxton,C,21,18,0,327,61,101,.604,1,4,.250,60,97,.619,.609,19,35,.543,27,58,85,16,11,24,11,33,142
Amir Coffey,SG,23,33,0,265,34,70,.486,19,43,.442,15,27,.556,.621,9,17,.529,6,21,27,15,7,0,11,13,96
John Collins,PF,23,47,47,1422,333,611,.545,60,158,.380,273,453,.603,.594,129,154,.838,98,267,365,65,25,49,57,152,855
Mike Conley,PG,33,39,39,1156,222,489,.454,106,256,.414,116,233,.498,.562,86,102,.843,29,107,136,214,54,6,77,72,636
Pat Connaughton,SG,28,46,2,1069,113,253,.447,66,169,.391,47,84,.560,.577,23,30,.767,45,175,220,62,32,17,21,72,315
Quinn Cook,PG,27,23,0,157,29,68,.426,11,26,.423,18,42,.429,.507,7,8,.875,2,15,17,18,4,1,7,10,76
Tyler Cook,SF-PF,23,13,0,128,13,24,.542,0,0,,13,24,.542,.542,4,9,.444,10,19,29,5,2,0,9,14,30
DeMarcus Cousins,C,30,25,11,506,79,210,.376,39,116,.336,40,94,.426,.469,44,59,.746,30,161,191,60,21,18,39,74,241
Robert Covington,PF,30,47,47,1513,148,356,.416,101,255,.396,47,101,.465,.558,32,39,.821,37,282,319,78,76,59,52,129,429
Torrey Craig,SF,30,26,0,335,41,90,.456,14,37,.378,27,53,.509,.533,3,6,.500,24,52,76,24,16,9,9,40,99
Jae Crowder,PF,30,45,30,1250,153,376,.407,110,285,.386,43,91,.473,.553,45,56,.804,21,201,222,94,38,19,42,84,461
Jarrett Culver,SG,21,27,7,439,62,151,.411,10,44,.227,52,107,.486,.444,27,44,.614,32,65,97,17,16,8,25,50,161
Seth Curry,SG,30,39,39,1136,178,391,.455,81,192,.422,97,199,.487,.559,59,66,.894,7,76,83,111,33,8,53,64,496
Stephen Curry,PG,32,42,42,1419,407,855,.476,196,483,.406,211,372,.567,.591,225,243,.926,22,207,229,254,56,4,132,74,1235
Nate Darling,SG,22,4,0,16,2,6,.333,2,6,.333,0,0,,.500,0,0,,1,0,1,1,0,0,0,0,6
Anthony Davis,PF,27,23,23,755,204,383,.533,17,58,.293,187,325,.575,.555,93,130,.715,47,146,193,70,31,41,45,42,518
Ed Davis,C,31,19,7,264,18,43,.419,0,0,,18,43,.419,.419,7,8,.875,38,59,97,19,10,10,6,49,43
Terence Davis,SG,23,39,4,595,109,254,.429,57,153,.373,52,101,.515,.541,20,23,.870,10,71,81,45,22,9,36,56,295
Matthew Dellavedova,PG,30,2,0,33,1,7,.143,1,2,.500,0,5,.000,.214,0,0,,2,1,3,10,0,0,0,2,3
DeMar DeRozan,PF,31,40,40,1368,292,591,.494,18,61,.295,274,530,.517,.509,240,273,.879,26,150,176,287,38,11,75,79,842
Mamadi Diakite,PF,24,6,0,56,8,18,.444,1,4,.250,7,14,.500,.472,0,0,,5,10,15,4,0,4,1,7,17
Hamidou Diallo,SG-SF,22,36,5,858,163,331,.492,17,50,.340,146,281,.520,.518,96,146,.658,41,146,187,84,33,15,54,93,439
Gorgui Dieng,C,31,23,1,377,56,108,.519,23,48,.479,33,60,.550,.625,39,45,.867,28,70,98,29,17,14,22,38,174
Spencer Dinwiddie,SG,27,3,3,64,6,16,.375,2,7,.286,4,9,.444,.438,6,6,1.000,0,13,13,9,2,1,5,4,20
Donte DiVincenzo,SG,24,48,48,1319,188,449,.419,94,245,.384,94,204,.461,.523,37,52,.712,61,206,267,147,55,9,68,78,507
Luka Dončić,PG,21,43,43,1503,437,896,.488,129,348,.371,308,548,.562,.560,226,309,.731,32,317,349,378,43,26,186,93,1229
Luguentz Dort,SG,21,41,41,1203,177,459,.386,80,245,.327,97,214,.453,.473,81,106,.764,27,114,141,64,35,15,58,99,515
Damyean Dotson,SG,26,35,6,658,87,221,.394,32,115,.278,55,106,.519,.466,22,32,.688,5,65,70,74,14,4,28,31,228
Devon Dotson,PG,21,3,0,15,2,4,.500,0,0,,2,4,.500,.500,0,0,,1,1,2,0,1,0,0,1,4
Sekou Doumbouya,PF,20,40,2,503,53,156,.340,17,70,.243,36,86,.419,.394,22,30,.733,18,65,83,23,15,2,26,55,145
PJ Dozier,SG,24,34,0,674,85,205,.415,30,86,.349,55,119,.462,.488,29,46,.630,23,100,123,53,17,16,28,61,229
Goran Dragić,PG,34,31,10,832,151,341,.443,50,142,.352,101,199,.508,.516,65,77,.844,9,93,102,144,17,6,82,71,417
Andre Drummond,C,27,26,26,736,182,386,.472,0,8,.000,182,378,.481,.472,77,131,.588,101,237,338,66,40,30,84,73,441
Jared Dudley,PF,35,11,0,76,2,7,.286,2,5,.400,0,2,.000,.429,0,0,,4,15,19,5,1,1,2,7,6
Kevin Durant,PF,32,19,18,679,188,359,.524,49,113,.434,139,246,.565,.592,126,145,.869,7,132,139,100,14,27,67,43,551
Anthony Edwards,SG,19,50,33,1544,326,825,.395,106,338,.314,220,487,.452,.459,122,156,.782,41,173,214,127,52,23,103,86,880
Carsen Edwards,SG,22,20,1,191,38,82,.463,13,43,.302,25,39,.641,.543,7,9,.778,2,17,19,9,5,1,3,21,96
CJ Elleby,SF,20,17,0,138,17,46,.370,5,26,.192,12,20,.600,.424,7,11,.636,8,14,22,3,6,3,3,19,46
Henry Ellenson,PF,24,2,0,38,5,14,.357,2,9,.222,3,5,.600,.429,3,4,.750,3,9,12,5,0,0,0,7,15
Wayne Ellington,SG,33,36,28,820,126,281,.448,95,224,.424,31,57,.544,.617,24,31,.774,9,59,68,51,15,8,26,51,371
Joel Embiid,C,26,32,32,1039,299,572,.523,38,94,.404,261,478,.546,.556,316,371,.852,71,292,363,103,37,46,103,80,952
James Ennis,SF,30,33,29,784,94,191,.492,36,80,.450,58,111,.523,.586,50,62,.806,38,94,132,50,29,6,30,68,274
Drew Eubanks,C,23,29,0,376,51,100,.510,1,1,1.000,50,99,.505,.515,32,45,.711,21,80,101,24,6,28,24,41,135
Dante Exum,SG,25,6,3,116,10,26,.385,2,11,.182,8,15,.533,.423,1,2,.500,2,15,17,13,4,2,7,9,23
Tacko Fall,C,25,14,0,91,17,23,.739,0,0,,17,23,.739,.739,4,13,.308,11,26,37,2,0,12,4,15,38
Derrick Favors,C,29,47,0,735,113,179,.631,0,1,.000,113,178,.635,.631,51,69,.739,97,160,257,37,25,47,27,106,277
Cristiano Felício,C,28,9,0,43,3,4,.750,0,0,,3,4,.750,.750,6,10,.600,6,7,13,5,2,0,3,3,12
Terrance Ferguson,SG,22,13,0,49,1,7,.143,0,5,.000,1,2,.500,.143,0,0,,0,1,1,2,1,0,4,7,2
Bruno Fernando,C,22,24,0,171,12,28,.429,0,2,.000,12,26,.462,.429,10,16,.625,13,51,64,9,2,3,17,19,34
Yogi Ferrell,PG,27,2,0,40,8,21,.381,3,9,.333,5,12,.417,.452,0,2,.000,3,4,7,5,3,1,3,4,19
Dorian Finney-Smith,PF,27,37,37,1172,116,265,.438,62,171,.363,54,94,.574,.555,21,25,.840,58,137,195,55,32,13,23,92,315
Malachi Flynn,PG,22,24,0,268,27,85,.318,8,44,.182,19,41,.463,.365,6,9,.667,1,25,26,35,9,0,10,21,68
Bryn Forbes,SG,27,48,6,914,160,353,.453,103,228,.452,57,125,.456,.599,26,34,.765,8,54,62,28,13,0,27,53,449
Trent Forrest,PG,22,13,0,72,7,15,.467,0,3,.000,7,12,.583,.467,2,2,1.000,0,7,7,16,4,0,5,5,16
Evan Fournier,SF-SG,28,30,26,902,186,407,.457,84,211,.398,102,196,.520,.560,101,127,.795,5,77,82,102,32,12,58,65,557
De'Aaron Fox,PG,23,49,49,1700,438,918,.477,88,272,.324,350,646,.542,.525,236,333,.709,26,133,159,348,67,25,150,144,1200
Tim Frazier,PG,30,3,0,33,2,8,.250,0,2,.000,2,6,.333,.250,0,0,,0,4,4,7,1,0,3,4,4
Markelle Fultz,PG,22,8,8,215,41,104,.394,4,16,.250,37,88,.420,.413,17,19,.895,5,20,25,43,8,2,18,18,103
Wenyen Gabriel,PF,23,7,0,31,0,5,.000,0,1,.000,0,4,.000,.000,1,2,.500,4,6,10,5,0,0,4,2,1
Daniel Gafford,PF-C,22,33,11,411,70,100,.700,0,0,,70,100,.700,.700,31,46,.674,49,65,114,17,12,39,25,56,171
Danilo Gallinari,PF,32,37,4,883,146,342,.427,76,191,.398,70,151,.464,.538,120,129,.930,9,142,151,54,20,7,36,75,488
Langston Galloway,SG,29,34,0,377,57,121,.471,32,71,.451,25,50,.500,.603,17,17,1.000,5,30,35,24,6,0,11,23,163
Darius Garland,PG,21,40,37,1334,251,571,.440,69,175,.394,182,396,.460,.500,78,93,.839,20,76,96,233,46,3,124,91,649
Marc Gasol,C,36,41,40,805,66,160,.413,37,101,.366,29,59,.492,.528,33,42,.786,28,136,164,84,22,49,45,94,202
Rudy Gay,PF,34,40,0,873,164,398,.412,67,171,.392,97,227,.427,.496,54,69,.783,34,166,200,63,31,24,41,74,449
Paul George,SF,30,38,38,1268,298,636,.469,119,281,.423,179,355,.504,.562,127,144,.882,33,207,240,205,43,17,121,88,842
Taj Gibson,PF,35,23,1,457,46,76,.605,3,14,.214,43,62,.694,.625,19,31,.613,41,73,114,15,14,21,13,45,114
Harry Giles,C,22,26,0,293,31,71,.437,6,13,.462,25,58,.431,.479,14,20,.700,28,89,117,22,6,10,18,48,82
Shai Gilgeous-Alexander,SG,22,35,35,1180,287,565,.508,71,170,.418,216,395,.547,.571,185,229,.808,19,147,166,207,27,23,106,70,830
Anthony Gill,PF,28,14,1,75,4,13,.308,1,9,.111,3,4,.750,.346,3,4,.750,3,16,19,4,3,2,3,4,12
Rudy Gobert,C,28,49,49,1503,269,413,.651,0,3,.000,269,410,.656,.651,177,288,.615,165,481,646,62,24,144,78,116,715
Brandon Goodwin,PG,25,32,1,355,48,132,.364,20,65,.308,28,67,.418,.439,17,24,.708,5,28,33,52,12,0,19,27,133
